id,editor,starring,title,writer
20090,,Emmanuelle Riva Juliette Binoche Benoît Régent Florence Pernel Guillaume De Tonquédec,Three Colors: Blue Golden Lion,Agnieszka Holland Krzysztof Piesiewicz Krzysztof Kie?lowski Edward Zebrowski
20091,,u9673u6E2Fu751F (Chan Kong Sang),Police Story 4: First Strike,Elliot Tong Greg Mellott Stanley Tong Nick Tramontane
20092,,Andrea Del Boca Adrián Suar,,Gustavo Belatti Mario Segade
20093,,Larry Miller Tommy Davidson,Pros & Cons,Larry Miller
20094,,Rajnikanth,,
20095,,"Mario Lopez, Jr. Corey Ralston Richard Vincent Van Patten",,
20096,,Art Ellison Candace Hilligoss Sidney Berger Frances Feist,,Herk Harvey
20097,,Irene Vanbrugh Marie Magdalene Dietrich Friedrich Robert Donath,,Lajos Biró Frances Marion James Hilton
20098,,Maury Chaykin Diane Hall,,Kevin Kane John Robert Hoffman
20099,,Yusuf Khan Kamini Kaushal,,
20100,,Nancy Anne Allen Donald Henry Pleasence,Terror in the Aisles,Margaret Doppelt
20101,,Jennifer Anne Garner Eric Marlon Bishop Jeremy Piven Jason Kent Bateman Ali Suliman Chris Cooper (actor) Kyle Martin Chandler Ashraf Barhom Richard Jenkins,The Kingdom,Michael Kenneth Mann Matthew Michael Carnahan
20102,,Ranko Akagi Kô Nishimura Yûko Kusunoki Shigeru Tsuyuguchi Masumi Harukawa,Akai satsui,Shohei Imamura Keiji Hasebe Shinji Fujiwara
20103,,Tula Ellice Finklea Leo Jacoby Spangler Arlington Brugh,,"Leo Katcher (story)
George Wells"
20104,,"Stanley Tucci, Jr. Stephen John Fry Sonia Aquino Geoffrey Roy Rush Peter Olm John Arthur Lithgow Miriam Margolyes Charlize Theron Emily Anita Watson",The Life and Death of Peter Sellers,Stephen McFeely Christopher Markus Roger Lewis
20105,,Josu00E9 Eduardo Veru00E1stegui Cu00F3rdoba Carlos Armando Ponce Freyre Tara Leniston,,Tracey Silvers Iren Koster
20106,,Jackie Shroff Sushmita Sen Rani Mukherjee Abhishek Bachchan,Bas Itna Sa Khwaab Hai,Tigmanshu Dhulia
20107,,Brandon James Routh Billy Bob Thornton Kimila Ann Basinger Amber Heard Philip Andre Rourke Jr. Winona Laura Horowitz,The Informers,Nicholas Jarecki Bret Easton Ellis
20108,,Esha Deol Sushmita Sen Ajay Devgan Anupam Kher Rucha Vaidya,Main Aisa Hi Hoon,Bhavani Iyer Anurag Kashyap Harry Baweja
20109,,Suhasini Rajaram Naidu Joseph Vijay Chandrasekhar,,Ramana Madhesh
20110,,Anastasiya Zavorotnyuk Vladimir Menshov Alexey Serebryakov Vincent Perez,,Denis Karyshev
20111,,Rajnikanth,,
20112,,Richard Grieco Linda Hunt Gabrielle Anwar Roger Rees Roger Daltrey,If Looks Could Kill,Fred Dekker Darren Star
20113,,,The Touch of Satan,James E. McLarty
20114,,Diane Heidkru00FCger Clovis Cornillac,,
20115,,"Patricia Davies Clarkson George Timothy Clooney Robert Downey, Jr. Tate Buckley Donovan Jeffrey Warren Daniels Ray Wise David Russell Strathairn Frank A. Langella Jr.","Good Night, and Good Luck. Good Night, and Good Luck",George Timothy Clooney Grant Heslov
20116,,Charles Macaulay Gordon Pinsent Jack Crowder Donna Denise Nicholas William Horace Marshall Vonetta McGee,Blacula,Raymond Koenig Joan Torres
20117,,"Raul Ferrer, Carlos Calavia, Diana Isis, Sergio Tafalla",,Carlos Calavia & Isma Rubio
20118,,Denzel Washington,Malcolm X,Arnold Perl
20119,,Mayumi Wakamura Takashi Noguchi Rei Kikukawa,Aoki u00D4kami: chi hate umi tsukiru made,"Takehiro Nakajima
Shu00F4ichi Maruyama
Seiichi Morimura (novels)"
20120,,Dira Paes Wagner Moura Lázaro Ramos,,Márcio Mello
20121,,Hoot Gibson,The Branded Man,
20122,,Faten Ahmed Hamama Salah Nazmi Muhammad Fawzi Abdel Waress Assar,,Henry Barakat Youssef Gohar
20123,,Dana Barron Michael Anthony Thomas Charles Hall Randall Rudy Quaid Cornelius Crane Chase Beverly D'Angelo Imogene Fernandez de Coca,,John Hughes (film director)
20124,,Stephen Wozniak (Actor) Kevin Gaede,Chaos,David DeFalco
20125,,Lynn Lowry William Oliver Stone Lloyd Kaufman,The Battle of Love's Return,Lloyd Kaufman
20126,,Tommy Chong Walter Stacy Keach Jr. Richard Anthony Marin Strother Martin Elizabeth Edith Enke,Up in Smoke,Tommy Chong Richard Anthony Marin
20127,,Faye Margaret Emerson Geraldine Fitzgerald Walter Andrew Brennan Jacob Julius Garfinkle,,W.R. Burnett
20128,,Charles Chaplin James Robert Sadler Michael Chaplin Victoria Dawn Addams Oliver Johnston Maxine Audley,A King in New York,Charles Chaplin
20129,,Lloyd Vernet Bridges III John Arthur Kennedy Vincent Phillip D'Onofrio,,Mark Malone
20130,,Peter Alexander Ustinov James Lablache Stewart Elizabeth Rosemond Taylor Robert Adolph Wilton Morley,Beau Brummell,Clyde Fitch Karl Tunberg
20131,,"Jennifer Mayo, Jackie Berryman, David Dean, Rico L. Richardson",,Rose Marie Turko
20132,,Ralph Byrd Howard C. Hickman Ralph Morgan Michael Owen John Davidson (actor) Kenneth Harlan Jan Wiley John Dilson,"Dick Tracy vs. Crime, Inc.",Chester Gould Ronald Davidson William Lively Joseph O'Donnell Norman S. Hall Joseph Poland
20133,,James Jonah Cummings John Donald Fiedler David Ogden Stiers Peter Cullen Ken Sansom James Bennett Kath Soucie,,Tom Rogers
20134,,Jack Whiting Charles Judels Charles Butterworth Winifred J. Reeves Irene Delroy,,Darryl Francis Zanuck Arthur Caesar
20135,,,,N Bhanutej
20136,,Michel Demitri Chalhoub Michael Caine,,J.B. Pick
20137,,,The Split,Robert Sabaroff Donald E. Westlake
20138,,"Mark Curry, Edward Asner, Barry Corbin, Austin Pendleton, Greg Sporleder",,
20139,,Samuel Leroy Jackson Lynn Butler-Smith,Eve's Bayou,Karen Lemmons
20140,,Chris Rock Mark Richard Hamill Jason Michael Lee Benjamin Gu00E9za Affleck Eliza Patricia Dushku John William Ferrell Shannon Elizabeth Fadal Jason Edward Mewes Kevin Patrick Smith,View Askewniverse Jay and Silent Bob Strike Back,Kevin Smith (filmmaker)
20141,,Laura Regan,,
20142,,Kay Kay Menon Abhishek Bachchan Supriya Pathak Tanisha Amitabh Bachchan Katrina Kaif Anupam Kher,Sarkar,Manish Gupta
20143,,William Theodore Katt Patrick McGoohan Sean Young Julian Alexander Fellowes,,
20144,,"Pitisak Yaowananon
Ploy Jindachote",Krasue Valentine,Yuthlert Sippapak
20145,,James Rebhorn William J. Dafoe Clea Helen D'Etienne DuVall Peter Ingvar Rolf Storm Scott Speedman,,Henry S. Miller Tom Phelan
20146,,Roger Bart Lauren German Richard Burgi Heather Matarazzo Jordan Ladd Bijou Phillips Jay Hernandez Vera Jordanova,Hostel: Part II,Eli Raphael Roth
20147,,William Boyd (actor) Melvyn Edouard Hesselberg Lily Claudette Chauchoin Lilyan Tashman,The Wiser Sex,Harry Hervey Clyde Fitch Caroline Francke
20148,,Lucas York Black Brian Kerwin Shawn Toovey,,Monte Merrick
20149,,Jon Iciarte Candela Fernández Bárbara Goenaga Nacho Vigalondo Karra Elejalde,,Nacho Vigalondo
20150,,Elizabeth Jane Hurley Sarah Polley Catherine McCormack Sean Justin Penn,The Weight of Water,Anita Shreve Christopher Kyle Alice Arlen
20151,,Waterman Leslie William Nielsen,,Waterman
20152,,Ashley Holbrook Jaime Elizabeth Pressly Molly Hagan William McNamara Jerry Springer Wendy Raquel Robinson John Capodice,,Jon Bernstein
20153,,Jean Martin Pascal Mazzotti Raymond Bussières Agnès Viala,,Jacques Prévert Hans Christian Andersen
20154,,George E. Periolat Charlotte Burton,,
20155,,K. Krishna Sonu Sisupal Vishwas Anuradha Ayesha Dharker,The Terrorist,Santosh Sivan
20156,,Vinod Mehra Badruddin Jamaluddin Kazi Bhanurekha Ganesan,,Gulshan Nanda
20157,,Mark Metcalf Christopher Frank Carandini Lee Alex McKenna Scott Kraft Brandon Hall Bob Keeshan Jessica Lundy Thomas Duane Arnold,The Stupids,Brent Forrester James Marshall Harry Allard
20158,,Theodor Friedrich Emil Janenz William Horatio Powell Jack Raymond Mary Elizabeth Riggs,,John F. Goodrich
20159,,Tom Wilkinson (actor) Robert Carlyle Linus Roache,Priest,Jimmy McGovern
20160,,Thelma Ritter Constance Campbell Bennett Wally Brown Allyn Joslyn Norma Jeane Mortenson,,Paddy Chayefsky Lamar Trotti
20161,,James Stewart (actor) Frances Ethel Gumm Hedwig Eva Maria Kiesler Julia Jean Mildred Frances Turner,Ziegfeld Girl,Marguerite Roberts Sonia Levien William Anthony McGuire
20162,,Soumitra Chatterjee Dipankar Dey Manoj Mitra Ruma Guha Thakurta Dhritiman Chatterjee Subhendu Chatterjee Mamata Shankar,,Satyajit Ray Henrik Ibsen
20163,,John Howard (Australian actor) Graham Kennedy John Hadley Payne,The Club,David Williamson
20164,,Leslie Banks Paul LeRoy Bustill Robeson,Sanders of the River,Edgar Wallace Lajos Biró
20165,,"Todd Jones William December Williams, Jr. Richard Pryor",The Bingo Long Traveling All-Stars & Motor Kings,Hal Barwood William Brashler
20166,,"Alejandro Urdapilleta
Julieta Cardinali
Rafael Ferro
Valeria Bertuccelli",,Esteban Sapir
20167,,Kamal Haasan,,
20168,,Baba Zula Alexander Hacke,Crossing the Bridge: The Sound of Istanbul,Fatih Ak?n
20169,,Mary Beth Hughes Warner Leroy Baxter,The Devil's Henchman,Eric Taylor
20170,,Rajiv Kapoor Kulbhushan Kharbanda Saeed Jaffrey Mandakini (actress) Divya Rana,Filmfare Best Movie Award,V. P. Sathe Raj Kapoor K. K. Singh Jyoti Swaroop
20171,,William Henry Pratt Anne Gwynne Stanley Ridges Anne Nagel Bela Lugosi,Black Friday,Eric Taylor Curt Siodmak
20172,,Raul Julia Linda Griffiths,Overdrawn at the Memory Bank,
20173,,Alec Guinness de Cuffe John Edward Hawkins Anthony Steel,Malta Story,Nigel Balchin Hugh Pugh Lloyd Peter De Sarigny William Fairchild Thorold Dickinson
20174,,Bhavana (actress) Shweta Konnur,,Kasi Vishwanathan
20175,,Richard Andrew Palethorpe-Todd Ronald Reagan Patsy Louise Neal,,Ranald MacDougall John Patrick
20176,,Sunny Deol Vijay Singh Deol,Dillagi,
20177,,Una Merkel Walter Houghston William L. Thorne,,Stephen Vincent Benet John W. Considine Jr. Gerrit J. Lloyd
20178,,R. Lee Ermey Anthony Perkins Corey Parker Mädchen Amick,,Philip John Taylor Bruce Lansbury
20179,,Marion Robert Morrison Joseph Schildkraut Anna McKim,Flame of Barbary Coast,Borden Chase
20180,,Mikhail Efimov Anatoly Guschin Vasya Lykshin Gennady Nazarov Andrey Egorov Ekaterina Migitsko Aleksandr Tsurkan Petr Zaychenko,Angel na obochinye,
20181,,,Black Tar Heroin: The Dark End of the Street,
20182,,Howard Vernon Karine Gambier,,
20183,,Jill Esmond Phyllis Konstam Helen Haye John Longden C.V. France Edmund Kellaway,The Skin Game,Alma Lucy Reville John Galsworthy Alfred Joseph Hitchcock
20184,,Kate Miles Branka Katic Jimi Mistry Stephen Scott Jennifer Love Hewitt,The Truth About Love,Peter Bloore William Johnston
20185,,Elmore Rual Torn John Franklin Candy Richard Donald Crenna Karen Austin,Summer Rental,Jeremy Stevens Mark Reisman
20186,,Helen Chandler George O'Brien (actor),Salute,James Kevin McGuinness
20187,,Brendan Eugene Sexton III Isidra Vega,Hurricane,Morgan J. Freeman
20188,,Raima Dev Varma Aishwarya Rai Prasenjit Chatterjee,,Rituparno Ghosh Rabindranath Tagore
20189,,Jules Munshin Betty Garrett Frank Sinatra Vera Ellen Westmeier Rohe Alicia Pearce Johnnie Lucille Ann Collier Eugene Curran Kelly,On the Town,Adolph Green Betty Comden
20190,,Allen Stewart Ku00F6nigsberg,King Lear,William Shakespeare
20191,,Parveen Babi Neetu Singh Nirupa Roy Amitabh Bachchan Balbir Raj Kapoor,"""Deewar"" Filmfare Best Movie Award",Salim-Javed
20192,,Aldo DaRe Robert Keith Richey Jr.,,Stirling Silliphant David Goodis
20193,,Beverly Lynne Michael Paré Charles Durning,,Kenneth Del Vecchio
20194,,Amar Choudary,,Ram
20195,,Harold Lloyd Ann Christy Babe Ruth Bert Woodruff,Speedy,Albert DeMond
20196,,Pat O'Brien (actor) Una Merkel Harlean Harlow Carpenter Stanislas Pascal Franchot Tone Clarence Ernst Nash C. Aubrey Smith Mary Forbes Lee Tracy Francis Phillip Wuppermann,,Mack Crane Norman Krasna John Lee Mahin Jules Furthman Caroline Francke
20197,,Freddie James Prinze Selma Blair Beitner Julia O'Hara Stiles,Down to You,
20198,,Esther Wing Ho Kwan Dicky Cheung Lau Chung Yan / Liu Song Ren Charline Chan Sandra Ng Kwan Yue Man Cheung Yeoh Choo-Kheng Maggie Cheung Simon Yam Carol ‘Do Do’ Cheng Man Tat Ng,,Jing Wong
20199,,Albert Ecke Waldo Bruce Donlevy Diane Findlay,,Nisan Takahashi Yonejiro Saito
20200,,,,John Vasiliou
20201,,Wong Tin Lam Louis Koo Tin Lok Tony Leung Ka-Fai Simon Yam,,Yau Nai-Hoi Yip Tin-Shing
20202,,"Noah Beery, Sr. Marguerite De La Motte",,Johnston McCulley
20203,,Alfre Ette Woodard Raiford Chatman Davis D.B. Sweeney Hayden Leslie Panettiere Max Casella,Dinosaur,Thom Enriquez Robert Nelson Jacobs Walon Green
20204,,Jack Buetel Walter Houghston Ernestine Jane Geraldine Russell Thomas Mitchell (actor),The Outlaw,Jules Furthman
20205,,"Joe Dusic
Kristi Ducati
Ricki Brando",The Bikini Carwash Company,Ed Hansen
20206,,Mieczyslaw Pawlikowski Tedeusz Lomnicki Daniel Olbrychski Magdalena Zawadzka,,Jerzy Hoffman Jerzy Lutowski
20207,,Bruce McGill Bruce Altman Alison Marion Lohman Nicholas Kim Coppola Sam Rockwell,Matchstick Men,Eric Garcia Matchstick Men Ted Griffin
20208,,Teuku Zakaria Sarimah Ahmad,,S Sudarmaji Teuku Zakaria
20209,,Joseph Frank Keaton VI,,Paul Girard Smith<Br> William Hazlett Upson
20210,,Miki Ryosuke Fukikoshi Mitsuru Asami Reina Ito Hideaki Otsuka Nene Ishiguro Ken Kato Ai Tokito Saburo,,Fukada Yasushi Satou Shuuhou
20211,,Blanca Guerra Guy Stockwell Adan Jodorowsky Faviola Tapia Axel Jodorowsky Thelma Tixou Sabrina Dennison,Santa Sangre,
20212,,Harold Lloyd,Step Lively,H.M. Walker
20213,,Rickey D'Shon Collins H.S. Hughes James Howard Woods Melissa Joan Hart Robert Goulet Allyce Beasley Courtland Mead Paul Wilson Andrew James Lawrence Pamela Segall Jason Davis April Winchell Ashley Johnson Dabney Coleman,Recess: School's Out,Paul Germain Jonathan Greenberg Joe Ansolabehere
20214,,Mary Steenburgen Jason Scott Greenspan Seth Green Laura Jeanne Reese Witherspoon Carol Creighton Burnett,The Trumpet of the Swan,E.B. White Judy Rothman Rofé
20215,,Shriya Pankaj Kapur,,Ruskin Bond Minty Kunwar Tejpal Vishal Bharadwaj Abhishek Chaubey
20216,,George Cole Dennis Waterman,,Andrew Payne (writer)
20217,,Myron McCormick Andy Samuel Griffith Nicholas Aloysius Adamshock,,Mac Hyman John Lee Mahin Ira Levin
20218,,Rose Judith Esther Byrne Kerry Washington Antonino Giovanni Ribisi Brittany Anne Bertolotti Marcia Gay Harden Antonia Collette James Edward Franco,The Dead Girl,Karen Moncrieff
20219,,Ali Rishibala Naval Brahmanandam Krishna Bhagavan,,Kuchipudi Venkat
20220,,Mary Eaton Dan Healy,,Oscar Hammerstein II Otto A. Harbach Walter Anthony
20221,,Sondraya Rowe Jeff Stroud Josh Walitt Rich Cowden,Machine Head,"Michael Murphy
Leonard Murphy"
20222,,Tony Ranasinghe Vijaya Kumaratunga Swarna Mallawarachchi,,
20223,,Kirsten Storms Raven-Symoné,Zenon: Girl of the 21st Century,Marilyn Sadler
20224,,Sid Smith (actor),Sweet Marie,
20225,,A.J. Johnson Master P,,Carrie Mungo Master P Leroy Douglas
20226,,Rúaidhrí Conroy Brendan Gleeson,Six Shooter,Martin McDonagh
20227,,Hideko Takamine,Twenty-four Eyes,Sakae Tsuboi Keisuke Kinoshita
20228,,James Jonah Cummings Tom Wheatley John Donald Fiedler Nikita Hopkins Ken Sansom Peter Cullen Kath Soucie Andre Stojka,Piglet's Big Movie,Brian Hohlfeld A.A. Milne
20229,,James Neville Mason Lewis Ernest Watts Mills,Tiara Tahiti,"Geoffrey Cotterell
Ivan Foxwell"
20230,,Joan Henrietta Collins Eldred Gregory Peck,,Philip Yordan Frank O'Rourke
20231,,D.B. Sweeney Craig Sheffer Sandy Ward Courteney Bass Cox,Blue Desert,Bradley Battersby Arthur Collis
20232,,Marian Carr Lon Chaney Jr. Max Showalter,,Sue Bradford Vy Russell
20233,,Dane Cook Isla Lang Fisher Jonah Hill Feldstein Daniel Kevin Fogler Amy Poehler Jaime Elizabeth Pressly Steven John Carell William Emerson Arnett Seth Rogen Carol Creighton Burnett James Eugene Carrey,Horton Hears a Who!,Cinco Paul Ken Daurio Dr. Seuss
20234,,Roscoe Arbuckle,The Other Man,
20235,,,,Joe Camp
20236,,Daniel Faraldo Pamela Suzette Grier Henry Silva Steven Seagal Sharon Vonne Stone,Above the Law,Steven Pressfield Andrew Davis (film director) Steven Seagal
20237,,Harriet Arlene Lake Raymond William Stacey Burr Anne Baxter Richard Conte,,Charles Hoffman Vera Caspary
20238,,Carlos Montalbán Howard Cosell Jacobo Morales Louise Lasser Allen Stewart Ku00F6nigsberg Sylvester Gardenzio Stallone Natividad Abascal Miguel Angel Suarez,Bananas,Allen Stewart Ku00F6nigsberg Mickey Rose
20239,,James Hugh Calum Laurie Joely Kim Richardson,Maybe Baby,Ben Elton
20240,,Chuck Connors Sadaho Maeda Gwyllyn Samuel Newton Ford Masao Kusakari,Virus,Sakyo Komatsu K?ji Takada Gregory Knapp
20241,,Enrique Serrano,,Manuel Romero
20242,,Henry DeWitt Carey II,A Fight for Love,Eugene B. Lewis
20243,,Constance Ford Robert Francis Vaughn Van Williams Charlotte Gercke Lucille Fay LeSueur Nellie Paulina Burgin Diane McBain Janis Paige Robert Langford Modini Stack,The Caretakers,Jerry Paris
20244,,Terry McGovern (actor) Russi Taylor Tress MacNeille Maurice LaMarche Wayne Allwine Mike Myers Bill Farmer James Jonah Cummings Eddie Carroll Corey Burton Charles Adler (voice actor) Tony Anselmo Don Messick Alan Young Victoria Carroll,,Tad Stones
20245,,Amrish Lal Puri Sunny Deol Kabir Bedi Rajpal Yadav Priyanka Chopra Preity Zinta,,Shaktimaan
20246,,Pat Shortt Conor Ryan Anne-Marie Duff,,Mark O'Halloran
20247,,Prathap Pothan Meera Vasudev Nedumudi Venu Mohanlal Viswanathan Nair Jagathy Sreekumar Arjun Lal,Thanmathra,Blessy
20248,,David Morse David Stephen Caruso Margaret Mary Emily Hyra Russell Ira Crowe,Proof of Life,Tony Gilroy
20249,,Sylvester Gardenzio Stallone Kurtwood Larson Smith Richard Donald Crenna,Rambo III,Sylvester Gardenzio Stallone David Morrell
20250,,Nicolas Surovy Helen Rachel Slater Jonathan Silverman,,Richard Lupoff Philip Morton Jonathan Heap
20251,,Tracey Ullman Elaine Berlin Hugh John Mungo Grant Allen Stewart Ku00F6nigsberg,Small Time Crooks,Allen Stewart Ku00F6nigsberg
20252,,Danny Lebern Glover,Bopha!,John Wierick Brian Bird
20253,,"Sandra Oh Cuba Gooding, Jr. Robert Fredrick Paulsen, III Jeffrey Glenn Bennett Aria Curzon Anndi McAfee Cody Arens",The Land Before Time XIII: The Wisdom of Friends,
20254,,Christine Cecilia McIntyre Samuel Horwitz Jacques O'Mahoney Harry Moses Horwitz Tiny Brauer Larry Fine (actor) Philip Van Zandt Vernon Bruce Dent,,
20255,,Christina Vidal Glen Jacobs,See No Evil,Dan Madigan
20256,,Rose Judith Esther Byrne Ben Lee Garry George McDonald Miranda Jane Richardson,The Rage in Placid Lake,Tony McNamara
20257,,Tomisaburo Wakayama,Shogun Assassin,Kazuo Koike Goseki Kojima
20258,,Frank O'Connor (actor) Al Hill Jerome Lester Horwitz Dudley Dickerson Fred Kelsey Al Thompson Harry Moses Horwitz Larry Fine (actor),,Monte Collins Elwood Ullman
20259,,Federico Luppi,,Adolfo Aristarain
20260,,Lily Claudette Chauchoin Ernest Frederick McIntyre Bickel,Manslaughter,Alice Duer Miller
20261,,Rachel Weisz Shia Saide LaBeouf Gavin Rossdale Peter Ingvar Rolf Storm Djimon Gaston Hounsou Pruitt Taylor Vince Keanu Charles Reeves Katherine Mathilda Swinton,Constantine,Alan Moore Jamie Delano Kevin Brodbin Garth Ennis Frank Cappello
20262,,Totò,,
20263,,Dan Haggerty,,Jeffrey Mandel
20264,,Scott Sealey Elaine Devry Kerwin Mathews,The Boy Who Cried Werewolf,Bob Homel
20265,,Buck Henry Zuckerman Lynn Carlin,Grand Prix (Cannes Film Festival),John Guare Jon Klein Milos Forman Jean-Claude Carrière
20266,,"George Babluani
Pascal Bongard
Philippe Passon
Auru00E9lien Recoing",13 Tzameti,Gu00E9la Babluani
20267,,Victoria Dawn Addams Gert Fröbe Peter van Eyck,Die Tausend Augen des Dr. Mabuse,Fritz Lang Heinz Oskar Wuttig Jan Fethke
20268,,Elizabeth McGovern Judd Hirsch Mary Tyler Moore Donald McNichol Sutherland Timothy Tarquin Hutton,Ordinary People,Nancy Dowd Alvin Sargent Judith Guest
20269,,Mitsuki Koga Katsuya Kobayashi Yuuki Sato Kazuki Kato Chisato Morishita Yui Satonaka Hidenori Tokuyama Musashi (kickboxer) Mizushima Hiro,,Toshiki Inoue
20270,,Lucy Alexis Liu Josu00E9 Antonio Domu00EDnguez Banderas Gregg Henry,Ballistic: Ecks vs. Sever,Alan B. McElroy
20271,,William Davis Garwood Jr. Vivian Rich,,Marie Layet
20272,,Angelica Panganiban Phylbert Angellie Ranollo Fagestrom John Lloyd Cruz Luis Philippe Santos Manzano Anne Marie Ojales Curtis-Smith Jason Abalos,,
20273,,Peter Seamus Ou2019Toole,Mystic India,Mose Richards
20274,,Jan Vostr?il,The Firemen's Ball,Ivan Passer Jaroslav Papoušek Jan Tomu00E1u0161 Forman
20275,,Charlie Ruggles Robert Montgomery Lucille Fay LeSueur Stanislas Pascal Franchot Tone,,A.E. Thomas Donald Ogden Stewart Horace Jackson
20276,,Hideto Erihara Tadasuke Ohmizu Yoshyiunki Kaneko Hiroto Torihata Masaki Aizawa Yurika Hino,Biohazard 4D-Executer,Oohata Kouichi Daisuke Okamoto
20277,,Samuel Pack Elliott Frederick Christopher Klein Mel Gibson Charles M. Walsh Keri Lynn Russell Greg Kinnear Barry Robert Pepper Madeleine Stowe Mora Don Duong,We Were Soldiers,Joseph L. Galloway Randall Wallace Harold G. Moore
